Nouns,Errors_in_non_count_form,Type,Condition_label,Intervening_noun_base_form,Intervening_noun_plural_form,Intervening_noun_count_form,Gender_of_intervening_noun,Number_of_intervening_noun,Gender_of_target_noun,Number_of_target_noun,Beginning,Condition_beginning,Numeral,First_adjective,Second_adjective,Condition_end,Target_noun_base_form,Target_noun_plural_form,Target_noun_count_form,Target_noun_other_plural_forms,Group,Final_sentence,Target_noun_after_final_sentence,Audio_files_numbering,File_prefix_of_all_audio_files,All_audio_files_original_name,Path_of_audio_files_final_name,Output_audio_file_partial_filename,Number_of_words_in_condition,All_columns_with_multiple_spaces,All_columns_with_a_final_space
,,target1,A1,улица,улици,улици,f,sg,m,pl,Геодезистите измериха,разположените между,пет,тесни,,улици,блок,блокове,блока,,A,Геодезистите измериха разположените между пет тесни улици,блок,STE-011,Targets,STE-011_mono.wav,Targets/mono/STE-011_mono.wav,target1_A1_блок_улица_пет_тесни__B,5,,
,,target1,A2,улица,улици,улици,f,sg,m,pl,Геодезистите измериха,разположените между,пет,тесни,градски,улици,блок,блокове,блока,,A,Геодезистите измериха разположените между пет тесни градски улици,блок,STE-012,Targets,STE-012_mono.wav,Targets/mono/STE-012_mono.wav,target1_A2_блок_улица_пет_тесни_градски_C,6,,
,,target1,A0,компания,компании,компании,f,sg,m,pl,Ръководителите оцениха,конструираните от,шест,,,компании,робот,роботи,робота,,A,Ръководителите оцениха конструираните от шест компании,робот,STE-013,Targets,STE-013_mono.wav,Targets/mono/STE-013_mono.wav,target1_A0_робот_компания_шест___C,4,,
,,target1,A1,компания,компании,компании,f,sg,m,pl,Ръководителите оцениха,конструираните от,шест,известни,,компании,робот,роботи,робота,,A,Ръководителите оцениха конструираните от шест известни компании,робот,STE-014,Targets,STE-014_mono.wav,Targets/mono/STE-014_mono.wav,target1_A1_робот_компания_шест_известни__A,5,,
,,target1,A2,компания,компании,компании,f,sg,m,pl,Ръководителите оцениха,конструираните от,шест,известни,международни,компании,робот,роботи,робота,,A,Ръководителите оцениха конструираните от шест известни международни компании,робот,STE-015,Targets,STE-015_mono.wav,Targets/mono/STE-015_mono.wav,target1_A2_робот_компания_шест_известни_международни_B,6,,
,,target1,A0,монахиня,монахини,монахини,f,sg,m,pl,Учените разчетоха,преписаните от,седем,,,монахини,ръкопис,ръкописи,ръкописа,,A,Учените разчетоха преписаните от седем монахини,ръкопис,STE-016,Targets,STE-016_mono.wav,Targets/mono/STE-016_mono.wav,target1_A0_ръкопис_монахиня_седем___B,4,,
,,target1,A1,монахиня,монахини,монахини,f,sg,m,pl,Учените разчетоха,преписаните от,седем,начетени,,монахини,ръкопис,ръкописи,ръкописа,,A,Учените разчетоха преписаните от седем начетени монахини,ръкопис,STE-017,Targets,STE-017_mono.wav,Targets/mono/STE-017_mono.wav,target1_A1_ръкопис_монахиня_седем_начетени__C,5,,
,,target1,A2,монахиня,монахини,монахини,f,sg,m,pl,Учените разчетоха,преписаните от,седем,начетени,средновековни,монахини,ръкопис,ръкописи,ръкописа,,A,Учените разчетоха преписаните от седем начетени средновековни монахини,ръкопис,STE-018,Targets,STE-018_mono.wav,Targets/mono/STE-018_mono.wav,target1_A2_ръкопис_монахиня_седем_начетени_средновековни_A,6,,
,,target1,A0,агенция,агенции,агенции,f,sg,m,pl,Издателството публикува,преведените в,две,,,агенции,роман,романи,романа,,A,Издателството публикува преведените в две агенции,роман,STE-019,Targets,STE-019_mono.wav,Targets/mono/STE-019_mono.wav,target1_A0_роман_агенция_две___A,4,,
,,target1,A1,агенция,агенции,агенции,f,sg,m,pl,Издателството публикува,преведените в,две,влиятелни,,агенции,роман,романи,романа,,A,Издателството публикува преведените в две влиятелни агенции,роман,STE-020,Targets,STE-020_mono.wav,Targets/mono/STE-020_mono.wav,target1_A1_роман_агенция_две_влиятелни__B,5,,
,,target1,A2,агенция,агенции,агенции,f,sg,m,pl,Издателството публикува,преведените в,две,влиятелни,чуждоезични,агенции,роман,романи,романа,,A,Издателството публикува преведените в две влиятелни чуждоезични агенции,роман,STE-021,Targets,STE-021_mono.wav,Targets/mono/STE-021_mono.wav,target1_A2_роман_агенция_две_влиятелни_чуждоезични_C,6,,
,,target1,A0,студентка,студентки,студентки,f,sg,m,pl,Уредниците изложиха,фотографираните от,три,,,студентки,бик,бикове,бика,,A,Уредниците изложиха фотографираните от три студентки,бик,STE-022,Targets,STE-022_mono.wav,Targets/mono/STE-022_mono.wav,target1_A0_бик_студентка_три___C,4,,
,,target1,A1,студентка,студентки,студентки,f,sg,m,pl,Уредниците изложиха,фотографираните от,три,млади,,студентки,бик,бикове,бика,,A,Уредниците изложиха фотографираните от три млади студентки,бик,STE-023,Targets,STE-023_mono.wav,Targets/mono/STE-023_mono.wav,target1_A1_бик_студентка_три_млади__A,5,,
,,target1,A2,студентка,студентки,студентки,f,sg,m,pl,Уредниците изложиха,фотографираните от,три,млади,синеоки,студентки,бик,бикове,бика,,A,Уредниците изложиха фотографираните от три млади синеоки студентки,бик,STE-024,Targets,STE-024_mono.wav,Targets/mono/STE-024_mono.wav,target1_A2_бик_студентка_три_млади_синеоки_B,6,,
,,target1,A0,лекарка,лекарка,лекарки,f,sg,m,pl,Снабдителят достави,написаните от,четири,,,лекарки,наръчник,наръчници,наръчника,,A,Снабдителят достави написаните от четири лекарки,наръчник,STE-025,Targets,STE-025_mono.wav,Targets/mono/STE-025_mono.wav,target1_A0_наръчник_лекарка_четири___B,4,,
,,target1,A1,лекарка,лекарка,лекарки,f,sg,m,pl,Снабдителят достави,написаните от,четири,известни,,лекарки,наръчник,наръчници,наръчника,,A,Снабдителят достави написаните от четири известни лекарки,наръчник,STE-026,Targets,STE-026_mono.wav,Targets/mono/STE-026_mono.wav,target1_A1_наръчник_лекарка_четири_известни__C,5,,
,,target1,A2,лекарка,лекарка,лекарки,f,sg,m,pl,Снабдителят достави,написаните от,четири,известни,опитни,лекарки,наръчник,наръчници,наръчника,,A,Снабдителят достави написаните от четири известни опитни лекарки,наръчник,STE-027,Targets,STE-027_mono.wav,Targets/mono/STE-027_mono.wav,target1_A2_наръчник_лекарка_четири_известни_опитни_A,6,,
,,target1,A0,пътешественички,пътешественички,пътешественички,f,sg,m,pl,Екскурзоводът описваше,препоръчаните от,пет,,,пътешественички,град,градове,града,,A,Екскурзоводът описваше препоръчаните от пет пътешественички,град,STE-028,Targets,STE-028_mono.wav,Targets/mono/STE-028_mono.wav,target1_A0_град_пътешественички_пет___A,4,,
,,target1,A1,пътешественичка,пътешественички,пътешественички,f,sg,m,pl,Екскурзоводът описваше,препоръчаните от,пет,мили,,пътешественички,град,градове,града,,A,Екскурзоводът описваше препоръчаните от пет мили пътешественички,град,STE-029,Targets,STE-029_mono.wav,Targets/mono/STE-029_mono.wav,target1_A1_град_пътешественичка_пет_мили__B,5,,
,,target1,A2,пътешественичка,пътешественички,пътешественички,f,sg,m,pl,Екскурзоводът описваше,препоръчаните от,пет,мили,тъмнокоси,пътешественички,град,градове,града,,A,Екскурзоводът описваше препоръчаните от пет мили тъмнокоси пътешественички,град,STE-030,Targets,STE-030_mono.wav,Targets/mono/STE-030_mono.wav,target1_A2_град_пътешественичка_пет_мили_тъмнокоси_C,6,,
,,target1,A0,журналистка,журналистки,журналистки,f,sg,m,pl,Издателите отпечатиха,редактираните от,шест,,,журналистки,вестник,вестници,вестника,,A,Издателите отпечатиха редактираните от шест журналистки,вестник,STE-031,Targets,STE-031_mono.wav,Targets/mono/STE-031_mono.wav,target1_A0_вестник_журналистка_шест___C,4,,
,,target1,A1,журналистка,журналистки,журналистки,f,sg,m,pl,Издателите отпечатиха,редактираните от,шест,безпристрастни,,журналистки,вестник,вестници,вестника,,A,Издателите отпечатиха редактираните от шест безпристрастни журналистки,вестник,STE-032,Targets,STE-032_mono.wav,Targets/mono/STE-032_mono.wav,target1_A1_вестник_журналистка_шест_безпристрастни__A,5,,
,,target1,A2,журналистка,журналистки,журналистки,f,sg,m,pl,Издателите отпечатиха,редактираните от,шест,безпристрастни,политически,журналистки,вестник,вестници,вестника,,A,Издателите отпечатиха редактираните от шест безпристрастни политически журналистки,вестник,STE-033,Targets,STE-033_mono.wav,Targets/mono/STE-033_mono.wav,target1_A2_вестник_журналистка_шест_безпристрастни_политически_B,6,,
,,target1,A0,книжарница,книжарници,книжарници,f,sg,m,pl,Учениците търсеха,продаваните в,седем,,,книжарници,учебник,учебници,учебника,,A,Учениците търсеха продаваните в седем книжарници,учебник,STE-034,Targets,STE-034_mono.wav,Targets/mono/STE-034_mono.wav,target1_A0_учебник_книжарница_седем___B,4,,
,,target1,A1,книжарница,книжарници,книжарници,f,sg,m,pl,Учениците търсеха,продаваните в,седем,нови,,книжарници,учебник,учебници,учебника,,A,Учениците търсеха продаваните в седем нови книжарници,учебник,STE-035,Targets,STE-035_mono.wav,Targets/mono/STE-035_mono.wav,target1_A1_учебник_книжарница_седем_нови__C,5,,
,,target1,A2,книжарница,книжарници,книжарници,f,sg,m,pl,Учениците търсеха,продаваните в,седем,нови,онлайн,книжарници,учебник,учебници,учебника,,A,Учениците търсеха продаваните в седем нови онлайн книжарници,учебник,STE-036,Targets,STE-036_mono.wav,Targets/mono/STE-036_mono.wav,target1_A2_учебник_книжарница_седем_нови_онлайн_A,6,,
,,target1,A0,ключе,ключета,ключета,n,sg,m,pl,Крадците разбиха,отварящите се с,две,,,ключета,катинар,катинари,катинара,,A,Крадците разбиха отварящите се с две ключета,катинар,STE-037,Targets,STE-037_mono.wav,Targets/mono/STE-037_mono.wav,target1_A0_катинар_ключе_две___A,5,,
,,target1,A1,ключе,ключета,ключета,n,sg,m,pl,Крадците разбиха,отварящите се с,две,железни,,ключета,катинар,катинари,катинара,,A,Крадците разбиха отварящите се с две железни ключета,катинар,STE-038,Targets,STE-038_mono.wav,Targets/mono/STE-038_mono.wav,target1_A1_катинар_ключе_две_железни__B,6,,
,,target1,A2,ключе,ключета,ключета,n,sg,m,pl,Крадците разбиха,отварящите се с,две,железни,ръждясали,ключета,катинар,катинари,катинара,,A,Крадците разбиха отварящите се с две железни ръждясали ключета,катинар,STE-039,Targets,STE-039_mono.wav,Targets/mono/STE-039_mono.wav,target1_A2_катинар_ключе_две_железни_ръждясали_C,7,,
,,target1,A0,мече,мечета,мечета,n,sg,m,pl,Екипът фотографира,уплашените от,три,,,мечета,прилеп,прилепи,прилепа,,A,Екипът фотографира уплашените от три мечета,прилеп,STE-040,Targets,STE-040_mono.wav,Targets/mono/STE-040_mono.wav,target1_A0_прилеп_мече_три___C,4,,
,,target1,A1,мече,мечета,мечета,n,sg,m,pl,Екипът фотографира,уплашените от,три,мокри,,мечета,прилеп,прилепи,прилепа,,A,Екипът фотографира уплашените от три мокри мечета,прилеп,STE-041,Targets,STE-041_mono.wav,Targets/mono/STE-041_mono.wav,target1_A1_прилеп_мече_три_мокри__A,5,,
,,target1,A2,мече,мечета,мечета,n,sg,m,pl,Екипът фотографира,уплашените от,три,мокри,бели,мечета,прилеп,прилепи,прилепа,,A,Екипът фотографира уплашените от три мокри бели мечета,прилеп,STE-042,Targets,STE-042_mono.wav,Targets/mono/STE-042_mono.wav,target1_A2_прилеп_мече_три_мокри_бели_B,6,,
,,target1,A0,лекарство,лекарства,лекарства,n,sg,m,pl,Ветеринарят прегледа,лекуваните с,четири,,,лекарства,котарак,котараци,котарака,,A,Ветеринарят прегледа лекуваните с четири лекарства,котарак,STE-043,Targets,STE-043_mono.wav,Targets/mono/STE-043_mono.wav,target1_A0_котарак_лекарство_четири___B,4,,
,,target1,A1,лекарство,лекарства,лекарства,n,sg,m,pl,Ветеринарят прегледа,лекуваните с,четири,безопасни,,лекарства,котарак,котараци,котарака,,A,Ветеринарят прегледа лекуваните с четири безопасни лекарства,котарак,STE-044,Targets,STE-044_mono.wav,Targets/mono/STE-044_mono.wav,target1_A1_котарак_лекарство_четири_безопасни__C,5,,
,,target1,A2,лекарство,лекарства,лекарства,n,sg,m,pl,Ветеринарят прегледа,лекуваните с,четири,безопасни,билкови,лекарства,котарак,котараци,котарака,,A,Ветеринарят прегледа лекуваните с четири безопасни билкови лекарства,котарак,STE-045,Targets,STE-045_mono.wav,Targets/mono/STE-045_mono.wav,target1_A2_котарак_лекарство_четири_безопасни_билкови_A,6,,
,,target1,A0,гърне,гърнета,гърнета,n,sg,m,pl,Домакините изстудяваха,налетите в,пет,,,гърнета,сок,сокове,сока,,A,Домакините изстудяваха налетите в пет гърнета,сок,STE-046,Targets,STE-046_mono.wav,Targets/mono/STE-046_mono.wav,target1_A0_сок_гърне_пет___A,4,,
,,target1,A1,гърне,гърнета,гърнета,n,sg,m,pl,Домакините изстудяваха,налетите в,пет,жълти,,гърнета,сок,сокове,сока,,A,Домакините изстудяваха налетите в пет жълти гърнета,сок,STE-047,Targets,STE-047_mono.wav,Targets/mono/STE-047_mono.wav,target1_A1_сок_гърне_пет_жълти__B,5,,
,,target1,A2,гърне,гърнета,гърнета,n,sg,m,pl,Домакините изстудяваха,налетите в,пет,жълти,глинени,гърнета,сок,сокове,сока,,A,Домакините изстудяваха налетите в пет жълти глинени гърнета,сок,STE-048,Targets,STE-048_mono.wav,Targets/mono/STE-048_mono.wav,target1_A2_сок_гърне_пет_жълти_глинени_C,6,,
,,target1,A0,гласуване,гласувания,гласувания,n,sg,m,pl,Депутатите измениха,приетите след,шест,,,гласувания,документ,документи,документа,,A,Депутатите измениха приетите след шест гласувания,документ,STE-049,Targets,STE-049_mono.wav,Targets/mono/STE-049_mono.wav,target1_A0_документ_гласуване_шест___C,4,,
,,target1,A1,гласуване,гласувания,гласувания,n,sg,m,pl,Депутатите измениха,приетите след,шест,важни,,гласувания,документ,документи,документа,,A,Депутатите измениха приетите след шест важни гласувания,документ,STE-050,Targets,STE-050_mono.wav,Targets/mono/STE-050_mono.wav,target1_A1_документ_гласуване_шест_важни__A,5,,
,,target1,A2,гласуване,гласувания,гласувания,n,sg,m,pl,Депутатите измениха,приетите след,шест,важни,секционни,гласувания,документ,документи,документа,,A,Депутатите измениха приетите след шест важни секционни гласувания,документ,STE-051,Targets,STE-051_mono.wav,Targets/mono/STE-051_mono.wav,target1_A2_документ_гласуване_шест_важни_секционни_B,6,,
,,target1,A0,изпитание,изпитания,изпитания,n,sg,m,pl,Служителите разгледаха,нерешените след,седем,,,изпитания,проблем,проблеми,проблема,,A,Служителите разгледаха нерешените след седем изпитания,проблем,STE-052,Targets,STE-052_mono.wav,Targets/mono/STE-052_mono.wav,target1_A0_проблем_изпитание_седем___B,4,,
,,target1,A1,изпитание,изпитания,изпитания,n,sg,m,pl,Служителите разгледаха,нерешените след,седем,трудни,,изпитания,проблем,проблеми,проблема,,A,Служителите разгледаха нерешените след седем трудни изпитания,проблем,STE-053,Targets,STE-053_mono.wav,Targets/mono/STE-053_mono.wav,target1_A1_проблем_изпитание_седем_трудни__C,5,,
,,target1,A2,изпитание,изпитания,изпитания,n,sg,m,pl,Служителите разгледаха,нерешените след,седем,трудни,практически,изпитания,проблем,проблеми,проблема,,A,Служителите разгледаха нерешените след седем трудни практически изпитания,проблем,STE-054,Targets,STE-054_mono.wav,Targets/mono/STE-054_mono.wav,target1_A2_проблем_изпитание_седем_трудни_практически_A,6,,
,,target1,A0,овчарче,овчарчета,овчарчета,n,sg,m,pl,Ловците застреляха,опасните за,двете,,,овчарчета,вълк,вълци,вълка,,A,Ловците застреляха опасните за двете овчарчета,вълк,STE-055,Targets,STE-055_mono.wav,Targets/mono/STE-055_mono.wav,target1_A0_вълк_овчарче_двете___A,4,,
,,target1,A1,овчарче,овчарчета,овчарчета,n,sg,m,pl,Ловците застреляха,опасните за,двете,малки,,овчарчета,вълк,вълци,вълка,,A,Ловците застреляха опасните за двете малки овчарчета,вълк,STE-056,Targets,STE-056_mono.wav,Targets/mono/STE-056_mono.wav,target1_A1_вълк_овчарче_двете_малки__B,5,,
,,target1,A2,овчарче,овчарчета,овчарчета,n,sg,m,pl,Ловците застреляха,опасните за,двете,малки,смели,овчарчета,вълк,вълци,вълка,,A,Ловците застреляха опасните за двете малки смели овчарчета,вълк,STE-057,Targets,STE-057_mono.wav,Targets/mono/STE-057_mono.wav,target1_A2_вълк_овчарче_двете_малки_смели_C,6,,
,,target1,A0,плашило,плашила,плашила,n,sg,m,pl,Природозащитниците уловиха,подплашените от,три,,,плашила,орел,орли,орела,орели,A,Природозащитниците уловиха подплашените от три плашила,орел,STE-058,Targets,STE-058_mono.wav,Targets/mono/STE-058_mono.wav,target1_A0_орел_плашило_три___C,4,,
,,target1,A1,плашило,плашила,плашила,n,sg,m,pl,Природозащитниците уловиха,подплашените от,три,смешни,,плашила,орел,орли,орела,орели,A,Природозащитниците уловиха подплашените от три смешни плашила,орел,STE-059,Targets,STE-059_mono.wav,Targets/mono/STE-059_mono.wav,target1_A1_орел_плашило_три_смешни__A,5,,
,,target1,A2,плашило,плашила,плашила,n,sg,m,pl,Природозащитниците уловиха,подплашените от,три,смешни,парцаливи,плашила,орел,орли,орела,орели,A,Природозащитниците уловиха подплашените от три смешни парцаливи плашила,орел,STE-060,Targets,STE-060_mono.wav,Targets/mono/STE-060_mono.wav,target1_A2_орел_плашило_три_смешни_парцаливи_B,6,,
,,target1,A0,завоевание,завоевания,завоевания,n,sg,m,pl,Филолозите изучаваха,разпространените след,четири,,,завоевания,език,езици,езика,,A,Филолозите изучаваха разпространените след четири завоевания,език,STE-061,Targets,STE-061_mono.wav,Targets/mono/STE-061_mono.wav,target1_A0_език_завоевание_четири___B,4,,
,,target1,A1,завоевание,завоевания,завоевания,n,sg,m,pl,Филолозите изучаваха,разпространените след,четири,мащабни,,завоевания,език,езици,езика,,A,Филолозите изучаваха разпространените след четири мащабни завоевания,език,STE-062,Targets,STE-062_mono.wav,Targets/mono/STE-062_mono.wav,target1_A1_език_завоевание_четири_мащабни__C,5,,
,,target1,A2,завоевание,завоевания,завоевания,n,sg,m,pl,Филолозите изучаваха,разпространените след,четири,мащабни,исторически,завоевания,език,езици,езика,,A,Филолозите изучаваха разпространените след четири мащабни исторически завоевания,език,STE-063,Targets,STE-063_mono.wav,Targets/mono/STE-063_mono.wav,target1_A2_език_завоевание_четири_мащабни_исторически_A,6,,
,,target1,A0,момиче,момичета,момичета,n,sg,m,pl,Почетната стража положи,изплетените от,пет,,,момичета,венец,венци,венеца,,A,Почетната стража положи изплетените от пет момичета,венец,STE-064,Targets,STE-064_mono.wav,Targets/mono/STE-064_mono.wav,target1_A0_венец_момиче_пет___A,4,,
,,target1,A1,момиче,момичета,момичета,n,sg,m,pl,Почетната стража положи,изплетените от,пет,красиви,,момичета,венец,венци,венеца,,A,Почетната стража положи изплетените от пет красиви момичета,венец,STE-065,Targets,STE-065_mono.wav,Targets/mono/STE-065_mono.wav,target1_A1_венец_момиче_пет_красиви__B,5,,
,,target1,A2,момиче,момичета,момичета,n,sg,m,pl,Почетната стража положи,изплетените от,пет,красиви,стройни,момичета,венец,венци,венеца,,A,Почетната стража положи изплетените от пет красиви стройни момичета,венец,STE-066,Targets,STE-066_mono.wav,Targets/mono/STE-066_mono.wav,target1_A2_венец_момиче_пет_красиви_стройни_C,6,,
,,target1,A0,дете,деца,деца,n,sg,m,pl,Докторът излекува,отглежданите от,шест,,,деца,хамстер,хамстери,хамстера,,A,Докторът излекува отглежданите от шест деца,хамстер,STE-067,Targets,STE-067_mono.wav,Targets/mono/STE-067_mono.wav,target1_A0_хамстер_дете_шест___C,4,,
,,target1,A1,дете,деца,деца,n,sg,m,pl,Докторът излекува,отглежданите от,шест,обичливи,,деца,хамстер,хамстери,хамстера,,A,Докторът излекува отглежданите от шест обичливи деца,хамстер,STE-068,Targets,STE-068_mono.wav,Targets/mono/STE-068_mono.wav,target1_A1_хамстер_дете_шест_обичливи__A,5,,
,,target1,A2,дете,деца,деца,n,sg,m,pl,Докторът излекува,отглежданите от,шест,обичливи,грижовни,деца,хамстер,хамстери,хамстера,,A,Докторът излекува отглежданите от шест обичливи грижовни деца,хамстер,STE-069,Targets,STE-069_mono.wav,Targets/mono/STE-069_mono.wav,target1_A2_хамстер_дете_шест_обичливи_грижовни_B,6,,
,,target1,A0,обсъждане,обсъждания,обсъждания,n,sg,m,pl,Юристите промениха,одобрените след,седем,,,обсъждания,устав,устави,устава,,A,Юристите промениха одобрените след седем обсъждания,устав,STE-070,Targets,STE-070_mono.wav,Targets/mono/STE-070_mono.wav,target1_A0_устав_обсъждане_седем___B,4,,
,,target1,A1,обсъждане,обсъждания,обсъждания,n,sg,m,pl,Юристите промениха,одобрените след,седем,безкрайни,,обсъждания,устав,устави,устава,,A,Юристите промениха одобрените след седем безкрайни обсъждания,устав,STE-071,Targets,STE-071_mono.wav,Targets/mono/STE-071_mono.wav,target1_A1_устав_обсъждане_седем_безкрайни__C,5,,
,,target1,A2,обсъждане,обсъждания,обсъждания,n,sg,m,pl,Юристите промениха,одобрените след,седем,безкрайни,парламентарни,обсъждания,устав,устави,устава,,A,Юристите промениха одобрените след седем безкрайни парламентарни обсъждания,устав,STE-072,Targets,STE-072_mono.wav,Targets/mono/STE-072_mono.wav,target1_A2_устав_обсъждане_седем_безкрайни_парламентарни_A,6,,
,,filler1,A0,концерт,концерти,концерта,m,sg,f,pl,Комисията класира,участвалите в,три,,,концерта,цигуларка,цигуларки,цигуларки,,A,Комисията класира участвалите в три концерта,цигуларка,STE-001,Fillers1,STE-001_mono.wav,Fillers1/mono/STE-001_mono.wav,filler1_A0_цигуларка_концерт_три___A,4,,
,,filler1,A1,концерт,концерти,концерта,m,sg,f,pl,Комисията класира,участвалите в,три,класически,,концерта,цигуларка,цигуларки,цигуларки,,A,Комисията класира участвалите в три класически концерта,цигуларка,STE-002,Fillers1,STE-002_mono.wav,Fillers1/mono/STE-002_mono.wav,filler1_A1_цигуларка_концерт_три_класически__B,5,,
,,filler1,A2,концерт,концерти,концерта,m,sg,f,pl,Комисията класира,участвалите в,три,класически,струнни,концерта,цигуларка,цигуларки,цигуларки,,A,Комисията класира участвалите в три класически струнни концерта,цигуларка,STE-003,Fillers1,STE-003_mono.wav,Fillers1/mono/STE-003_mono.wav,filler1_A2_цигуларка_концерт_три_класически_струнни_C,6,,
,,filler1,A0,камък,камъни,камъка,m,sg,f,pl,Дърводелецът поправи,разбитите с,три,,,камъка,врата,врати,врати,,A,Дърводелецът поправи разбитите с три камъка,врата,STE-004,Fillers1,STE-004_mono.wav,Fillers1/mono/STE-004_mono.wav,filler1_A0_врата_камък_три___C,4,,
,,filler1,A1,камък,камъни,камъка,m,sg,f,pl,Дърводелецът поправи,разбитите с,три,тежки,,камъка,врата,врати,врати,,A,Дърводелецът поправи разбитите с три тежки камъка,врата,STE-005,Fillers1,STE-005_mono.wav,Fillers1/mono/STE-005_mono.wav,filler1_A1_врата_камък_три_тежки__A,5,,
,,filler1,A2,камък,камъни,камъка,m,sg,f,pl,Дърводелецът поправи,разбитите с,три,тежки,сиви,камъка,врата,врати,врати,,A,Дърводелецът поправи разбитите с три тежки сиви камъка,врата,STE-006,Fillers1,STE-006_mono.wav,Fillers1/mono/STE-006_mono.wav,filler1_A2_врата_камък_три_тежки_сиви_B,6,,
,,filler1,A0,етикет,етикети,етикета,m,sg,f,pl,Пощальонът надписа,облепените с,три,,,етикета,кутия,кутии,кутии,,A,Пощальонът надписа облепените с три етикета,кутия,STE-007,Fillers1,STE-007_mono.wav,Fillers1/mono/STE-007_mono.wav,filler1_A0_кутия_етикет_три___B,4,,
,,filler1,A1,етикет,етикети,етикета,m,sg,f,pl,Пощальонът надписа,облепените с,три,самозалепващи,,етикета,кутия,кутии,кутии,,A,Пощальонът надписа облепените с три самозалепващи етикета,кутия,STE-008,Fillers1,STE-008_mono.wav,Fillers1/mono/STE-008_mono.wav,filler1_A1_кутия_етикет_три_самозалепващи__C,5,,
